"No.","Time","TCP Delta","Length","Protocol","Stream index","Destination Port","Time since first frame in this TCP stream","Epoch Arrival Time","Info"
"98","21:41:24","1.994412000","56","Modbus/TCP","2","502","38.228760000","1726620084.763218000","   Query: Trans:    19; Unit:   3, Func:   4: Read Input Registers"
"99","21:41:24","0.000044000","44","TCP","2","57057","38.228804000","1726620084.763262000","mbap(502)  >  57057 [ACK] Seq=199 Ack=229 Win=2619392 Len=0"
"100","21:41:24","0.012676000","55","Modbus/TCP","2","57057","38.241480000","1726620084.775938000","Response: Trans:    19; Unit:   3, Func:   4: Read Input Registers"
"101","21:41:24","0.000062000","44","TCP","2","502","38.241542000","1726620084.776000000","57057  >  mbap(502) [ACK] Seq=229 Ack=210 Win=2619392 Len=0"
"102","21:41:26","1.995575000","56","Modbus/TCP","2","502","40.237117000","1726620086.771575000","   Query: Trans:    20; Unit:   3, Func:   4: Read Input Registers"
"103","21:41:26","0.000085000","44","TCP","2","57057","40.237202000","1726620086.771660000","mbap(502)  >  57057 [ACK] Seq=210 Ack=241 Win=2619392 Len=0"
"104","21:41:26","0.014813000","55","Modbus/TCP","2","57057","40.252015000","1726620086.786473000","Response: Trans:    20; Unit:   3, Func:   4: Read Input Registers"
"105","21:41:26","0.000132000","44","TCP","2","502","40.252147000","1726620086.786605000","57057  >  mbap(502) [ACK] Seq=241 Ack=221 Win=2619392 Len=0"
"106","21:41:28","1.990652000","56","Modbus/TCP","2","502","42.242799000","1726620088.777257000","   Query: Trans:    21; Unit:   3, Func:   4: Read Input Registers"
"107","21:41:28","0.000028000","44","TCP","2","57057","42.242827000","1726620088.777285000","mbap(502)  >  57057 [ACK] Seq=221 Ack=253 Win=2619392 Len=0"
"108","21:41:28","0.017644000","55","Modbus/TCP","2","57057","42.260471000","1726620088.794929000","Response: Trans:    21; Unit:   3, Func:   4: Read Input Registers"
"109","21:41:28","0.000067000","44","TCP","2","502","42.260538000","1726620088.794996000","57057  >  mbap(502) [ACK] Seq=253 Ack=232 Win=2619392 Len=0"
"110","21:41:30","1.994454000","56","Modbus/TCP","2","502","44.254992000","1726620090.789450000","   Query: Trans:    22; Unit:   3, Func:   4: Read Input Registers"
"111","21:41:30","0.000038000","44","TCP","2","57057","44.255030000","1726620090.789488000","mbap(502)  >  57057 [ACK] Seq=232 Ack=265 Win=2619392 Len=0"
"112","21:41:30","0.008322000","55","Modbus/TCP","2","57057","44.263352000","1726620090.797810000","Response: Trans:    22; Unit:   3, Func:   4: Read Input Registers"
"113","21:41:30","0.000061000","44","TCP","2","502","44.263413000","1726620090.797871000","57057  >  mbap(502) [ACK] Seq=265 Ack=243 Win=2619392 Len=0"
"114","21:41:32","2.003310000","56","Modbus/TCP","2","502","46.266723000","1726620092.801181000","   Query: Trans:    23; Unit:   3, Func:   4: Read Input Registers"
